#,Coin,Unnamed: 3,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV
1,Bitcoin BTC,,"$23,855.72",-0.4%,2.4%,2.0%,"$26,744,502,163","$459,574,335,735","$504,862,127,395"
2,Ethereum ETH,,"$1,780.38",-0.3%,3.6%,5.8%,"$15,410,218,928","$215,120,609,965",?
3,Tether USDT,,$0.998108,-0.3%,-0.0%,-0.3%,"$50,215,953,106","$66,533,263,770",?
4,USD Coin USDC,,$0.998883,-0.2%,0.1%,-0.1%,"$6,345,531,558","$54,191,150,714",?
5,BNB BNB,,$326.24,-0.5%,1.1%,14.9%,"$1,390,670,453","$53,694,417,096","$54,299,439,349"
6,XRP XRP,,$0.381433,-0.1%,1.0%,0.1%,"$1,106,854,107","$18,549,505,170","$38,370,532,114"
7,Cardano ADA,,$0.537148,0.0%,0.2%,3.6%,"$781,387,498","$18,263,152,624","$24,300,280,550"
8,Binance USD BUSD,,$0.999035,-0.2%,-0.2%,-0.2%,"$5,467,030,357","$17,816,462,200",?
9,Solana SOL,,$42.64,0.2%,2.7%,0.4%,"$1,134,008,109","$14,983,146,850",?
10,Polkadot DOT,,$9.24,-0.5%,4.9%,6.5%,"$608,518,444","$10,593,509,064",?
11,Dogecoin DOGE,,$0.070258432702,-0.0%,0.3%,2.8%,"$380,307,705","$9,366,146,365",?
12,Avalanche AVAX,,$28.48,-0.6%,1.1%,19.9%,"$959,104,120","$8,186,315,529","$20,719,274,928"
13,Lido Staked Ether STETH,,"$1,717.67",-0.3%,3.8%,4.5%,"$3,026,954","$7,410,027,531","$7,410,027,531"
14,Shiba Inu SHIB,,$0.000012429338,0.3%,2.3%,5.9%,"$588,086,006","$7,352,552,408",?
15,Dai DAI,,$0.998138,-0.3%,-0.2%,-0.5%,"$2,509,347,772","$7,055,679,543","$7,055,679,543"
16,Polygon MATIC,,$0.931646,0.2%,1.1%,0.2%,"$428,865,188","$6,967,380,537","$9,362,872,210"
17,TRON TRX,,$0.070385804708,-0.3%,0.1%,1.9%,"$320,190,620","$6,534,853,477",?
18,Wrapped Bitcoin WBTC,,"$23,847.56",-0.5%,2.5%,2.1%,"$214,750,386","$5,686,549,687","$5,686,549,687"
19,Ethereum Classic ETC,,$38.30,0.5%,-0.3%,5.0%,"$1,265,685,531","$5,271,332,474","$8,151,836,886"
20,OKB OKB,,$18.55,-0.0%,1.1%,1.5%,"$8,343,663","$4,780,702,801",?
21,LEO Token LEO,,$4.86,0.2%,-0.7%,-3.3%,"$2,622,236","$4,530,934,197",?
22,Litecoin LTC,,$62.97,-0.3%,2.0%,5.2%,"$357,898,073","$4,490,898,908","$5,320,735,121"
23,FTX FTT,,$31.63,-0.4%,2.4%,3.9%,"$56,366,435","$4,286,769,180","$10,520,142,585"
24,NEAR Protocol NEAR,,$5.51,1.6%,8.3%,29.6%,"$550,668,084","$4,162,578,002","$5,517,368,046"
25,Uniswap UNI,,$8.86,-0.1%,-0.9%,5.3%,"$153,591,204","$4,078,631,979","$8,934,775,572"
26,Chainlink LINK,,$8.59,-0.0%,3.4%,11.9%,"$712,135,811","$4,041,493,606","$8,652,309,404"
27,Cronos CRO,,$0.150978,-0.2%,1.8%,9.8%,"$25,419,884","$3,833,566,344",?
28,Cosmos Hub ATOM,,$11.76,0.1%,2.6%,13.1%,"$316,550,163","$3,455,077,018",?
29,Stellar XLM,,$0.132771,-1.3%,6.9%,12.5%,"$274,892,081","$3,377,447,643","$6,692,769,956"
30,Flow FLOW,,$3.00,0.1%,12.3%,55.1%,"$564,594,781","$3,129,511,136",?
31,Monero XMR,,$166.68,-0.5%,-1.1%,7.5%,"$123,901,534","$3,047,722,468",?
32,Bitcoin Cash BCH,,$144.35,-0.3%,0.4%,3.2%,"$655,540,254","$2,780,657,393","$3,050,852,132"
33,Algorand ALGO,,$0.366441,-0.3%,0.9%,8.8%,"$103,263,677","$2,568,906,448","$3,696,581,436"
35,VeChain VET,,$0.031910404027,0.5%,0.7%,17.2%,"$113,163,996","$2,328,203,736","$2,784,188,218"
34,Filecoin FIL,,$9.00,0.2%,0.7%,-9.1%,"$350,295,774","$2,326,949,141","$17,801,129,401"
36,ApeCoin APE,,$7.32,-0.3%,-0.4%,8.9%,"$301,197,815","$2,265,842,433","$7,383,600,596"
37,Internet Computer ICP,,$8.33,-0.1%,0.2%,-7.6%,"$78,543,223","$2,094,831,198","$3,932,611,452"
38,Decentraland MANA,,$1.10,0.2%,1.6%,11.9%,"$221,862,816","$2,001,199,928","$2,424,268,590"
39,Chain XCN,,$0.086459449075,-0.5%,1.6%,-9.7%,"$43,575,349","$1,856,799,083","$4,621,574,364"
40,Hedera HBAR,,$0.079588974438,-0.3%,1.4%,4.4%,"$26,171,870","$1,814,449,238",?
42,The Sandbox SAND,,$1.36,0.2%,1.3%,3.5%,"$305,546,238","$1,752,125,423","$4,093,560,313"
41,Quant QNT,,$129.03,-0.7%,1.6%,25.3%,"$58,647,911","$1,750,775,949","$1,907,208,144"
43,Tezos XTZ,,$1.91,0.4%,-1.0%,9.4%,"$45,006,242","$1,719,176,645",?
